37,38,39,41,42,44,45,46,56,57,58,59,60,61
動機|0.35929642706871545|單元|0.35929642706871545|生活|0.25596160542065693|目標|0.23260432980855794|學生|0.1987324687174719,上課|0.2677934203113909|鼓勵|0.2677934203113909|東西|0.22928524361361619|調整|0.22928524361361619|方式|0.20272769911678287,事件|2.4811128512912846|比例|1.0702812177236454|一個|0.9686571570790418,聽不懂|0.8254268770090184|原因|0.6421687306341873|生活|0.4095385686730511|貌似|0.15898597497397754|無關|0.15898597497397754,單位|1.2050703914012593|數個|1.2050703914012593|比例|0.8027109132927341|數值|0.6557642470672044,原因|1.6054218265854683|抽象|1.2111931464033332,單位|1.2050703914012593|時間|0.8027109132927341|距離|0.1987324687174719|固定|0.1987324687174719,有沒有|0.11356141069569822|汽車|0.11356141069569822|火車|0.11356141069569822|坐過|0.11356141069569822|捷運|0.11356141069569822,90|0.2191037075275017|80|0.18759701750204963|30|0.16916678531531487|0.5|0.10839952839134831|方向|0.07226635226089888,敘述|0.9640563131210075|文字|0.5748742833099447|方向|0.15898597497397754|同個|0.15898597497397754|出發點|0.15898597497397754,敘述|0.5355868406227818|觀察|0.336502455152998|學生|0.2649766249566292|理解|0.23469237383364744|題目|0.08832554165220974,越來越|2.4101407828025185|相距|0.3974649374349438,單元|0.28743714165497236|歸納|0.24101407828025187|生活|0.20476928433652555|表格|0.18608346384684638|式子|0.17169936022425733,老師|0.30071096108580003|孩童|0.27514229233633947|影響|0.26494242953984276|因素|0.2140562435447291|發展|0.19162476110331492
單元|0.3193746018388582|累積|0.22928524361361619|經驗|0.19077706691584145|基礎|0.17838020295394091|動機|0.1596873009194291,確認|0.38562252524840296|：「|0.25686749225367494|分列|0.19281126262420148|發問|0.19281126262420148|診斷|0.19281126262420148,物品|0.4905696006407352|分成|0.3915485748464572|一個|0.2075693908026518|幾份|0.11356141069569822|數份|0.11356141069569822,引入|0.6090755608722668|分數|0.5355868406227818|需求|0.3815541338316829|原因|0.35676040590788183|定義|0.24235824844330867,13|0.8584968011212866|羣體|0.1987324687174719|午餐|0.1987324687174719|28|0.1987324687174719|全班|0.1987324687174719,,常用|0.2189217221727604|時間|0.1888731560688786|」、「|0.1781483586104107|代表|0.16122588376030594|生活|0.1204525201979562,第二|0.6878557308408486|班上|0.1324883124783146|最快|0.1324883124783146|第一句|0.1324883124783146|小朋友|0.1324883124783146,90|0.688611652229291|80|0.589590626435013|60|0.5316670395624181|30|0.5316670395624181|km|0.11356141069569822,影響|0.24838352769360258|方式|0.22806866150638075|距離|0.09936623435873596|甲乙|0.09936623435873596|而形|0.09936623435873596,講解|0.9304173192342318|輔助|0.8584968011212866|題目|0.1987324687174719|畫圖|0.1987324687174719,分數|0.25369902976868614|行駛|0.20919207233418094|30|0.1958773303651014|表達|0.13251034066373638|方式|0.09602891010794978,輔助|0.2747189763588117|教學內容|0.19281126262420148|時應|0.19281126262420148|利用|0.19281126262420148|表徵|0.15866242705855071,教學內容|0.4382074150550034|目標|0.33833357063062974|因素|0.29189487756099425|情意|0.24916727490229099|程度|0.19202103313662064
概述|0.4016901304670864|目標|0.31013910641141057|有趣|0.31013910641141057|知識|0.20980803938424925|內容|0.18794435067862503,狀況|0.48202815656050374|修正|0.48202815656050374|回答|0.4127134385045092|評量|0.34339872044851466|課堂|0.2112231364502827,Pizza|0.7949298748698876,收集|0.688611652229291|更好|0.589590626435013|原因|0.45869195045299094|應有|0.45869195045299094|資料|0.43264601376814027,命中率|0.3974649374349438|罰球|0.3974649374349438,收集|0.688611652229291|更好|0.589590626435013|原因|0.45869195045299094|應有|0.45869195045299094|資料|0.43264601376814027,時間|1.0702812177236454|距離|0.2649766249566292|速度|0.2649766249566292,,90|0.8033802609341728|80|0.6878557308408486|0.5|0.2649766249566292|   |0.1324883124783146|80km|0.1324883124783146,方向|0.2649766249566292|小時|0.2649766249566292|分鐘|0.2649766249566292,講解|0.4652086596171159|60|0.4652086596171159|。(|0.09936623435873596|方位|0.09936623435873596|分鐘|0.09936623435873596,單位|1.6067605218683456|方向|0.2649766249566292|搞清楚|0.2649766249566292,單元|1.4371857082748618|所需|0.3974649374349438,難易|2.4101407828025185|程度|1.0561156822514135
所學|0.3443058261146455|利用|0.3443058261146455|學習動機|0.26583351978120906|物品|0.2452848003203676|單元|0.20531224403926596,而後|0.688611652229291|詢問|0.589590626435013|課程|0.34605518468666663|觀念|0.11356141069569822|停下|0.11356141069569822,物體|2.063567192522546|切割|0.3974649374349438,,性質|1.2050703914012593|物體|1.031783596261273|兩個|0.6852100059813002|做同|0.1987324687174719,原因|3.2108436531709366,單位|1.2050703914012593|時間|0.8027109132927341|內所|0.1987324687174719|距離|0.1987324687174719,,30|0.41351880854854745|16|0.22928524361361619|80|0.22928524361361619|  |0.17665108330441948|km|0.1324883124783146,題意|2.063567192522546|看不懂|0.3974649374349438,解釋|1.8608346384684635|畫圖|0.3974649374349438,呈現|0.5453060589974446|方式|0.4561373230127615|題目|0.1987324687174719|畫圖|0.1987324687174719,表格|0.9304173192342318|圖形|0.6294241181527478|生活|0.5119232108413139|實例|0.49676705538720517,教具|0.4292484005606433|難度|0.40135545664636707|表達|0.3147120590763739|程度|0.2640289205628534|教學|0.10161854754657074
經驗|0.5723312007475243|簡單|0.28616560037376215|單元|0.23953095137914363|鏈接|0.22840333532710005|知識|0.20980803938424925,是因爲|0.3012675978503148|茫然|0.3012675978503148|有趣|0.23260432980855794|學習動機|0.23260432980855794|簡單|0.21462420028032164,相除|0.2649766249566292|兩數|0.2649766249566292|表達方式|0.2649766249566292,重點|0.5355868406227818|接觸|0.45857048722723237|簡單|0.3815541338316829|原因|0.35676040590788183|單元|0.3193746018388582,100|1.6067605218683456|分數|1.6067605218683456|乘上|0.2649766249566292,簡單|0.5723312007475243|原因|0.5351406088618227|引入|0.4568066706542001|概念|0.45151522093510343|表達|0.4196160787684985,時間|0.6421687306341873|除以|0.15898597497397754|距離|0.15898597497397754|行經|0.15898597497397754|所花|0.15898597497397754,,80|1.3757114616816972|90|0.8033802609341728|)/|0.1324883124783146|70|0.1324883124783146|公里|0.1324883124783146,一個|0.9686571570790418|往西|0.2649766249566292|往東|0.2649766249566292,讀題|0.7949298748698876,題目|0.1987324687174719|方向|0.1987324687174719|看清楚|0.1987324687174719|行駛|0.1987324687174719,主題|0.9640563131210075|依據|0.5246113976537635|適合|0.4844772585613333|選擇|0.25298670082312463|表徵|0.1983280338231884,主題|0.8033802609341728|學習動機|0.6202782128228211|有沒有|0.1324883124783146|好不好|0.1324883124783146|學生|0.1324883124783146
利用|0.6427042087473382|注意力|0.3213521043736691|實體|0.27514229233633947|孩童|0.27514229233633947|學習動機|0.24811128512912847,引導|0.4855452217700108|解題|0.28498662268313724|重點|0.28354597444735513|寫下|0.28354597444735513|上臺|0.28354597444735513,東西|1.031783596261273|分數|0.6025351957006296|生活|0.25596160542065693|遇見|0.1987324687174719|概念|0.1693182078506638,,蘋果|0.2649766249566292|檸檬|0.2649766249566292|幾顆|0.1324883124783146|兩顆|0.1324883124783146|重時|0.1324883124783146,,時間|0.8027109132927341|所能|0.1987324687174719|距離|0.1987324687174719|到達|0.1987324687174719,：(|0.1987324687174719|未填寫|0.1987324687174719|第一句|0.1987324687174719|我會|0.1987324687174719,90|0.28354597444735513|80|0.2427726108850054|60|0.2189217221727604|30|0.2189217221727604|hr|0.09352116174939855,講解|0.9304173192342318|老師|0.5638330520358751|理解|0.5280578411257068|概念|0.3386364157013276,簡單|0.6867974408970293|觀念|0.15898597497397754|代入|0.15898597497397754|我會|0.15898597497397754|題幹|0.15898597497397754,信息|0.9304173192342318|題目|0.3974649374349438|沒關係|0.1987324687174719|再讀|0.1987324687174719,主題|0.4382074150550034|具體化|0.4382074150550034|記憶|0.4382074150550034|圖形|0.22888149751009013|表徵|0.1802982125665349,主題|0.8033802609341728|理解|0.35203856075047113|程度|0.35203856075047113|教師|0.1547435445824017|同學|0.1324883124783146
舉例|0.4016901304670864|感興趣|0.4016901304670864|日常生活|0.31013910641141057|常見|0.28616560037376215|單元|0.23953095137914363,討論|0.5725645041441426|常見|0.2641528618834728|概念|0.2083916404315862|知識|0.19366895943161472|提出|0.1677864796915214,重組|2.4101407828025185|分割|0.3974649374349438,,數量|1.2050703914012593|關係|0.7185928541374309|兩個|0.6852100059813002|表達|0.6294241181527478,原因|0.8027109132927341|抽象|0.6055965732016666|理解|0.5280578411257068|不好|0.1987324687174719,時間|1.6054218265854683|走多遠|0.3974649374349438,時間|0.6421687306341873|兩個|0.5481680047850402|速度|0.15898597497397754|第一句|0.15898597497397754|我會|0.15898597497397754,80|0.7503880700081985|90|0.4382074150550034|60|0.33833357063062974|30|0.33833357063062974|160|0.14453270452179776,題意|2.063567192522546|理解|1.0561156822514135,題意|4.127134385045092,30|0.33833357063062974|一個|0.2641792246579205|兩車|0.14453270452179776|往西|0.07226635226089888|距離|0.07226635226089888,單元|0.5748742833099447|概念|0.2709091325610621|選擇|0.25298670082312463|表徵|0.1983280338231884|配合|0.15898597497397754,教學進度|1.2050703914012593|特性|0.8584968011212866|時間|0.8027109132927341|單元|0.7185928541374309
正確|0.4855452217700108|回答|0.4855452217700108|單元|0.3381613431234969|引入|0.3224517675206119|課本|0.28354597444735513,上臺|0.657311122582505|試著|0.2191037075275017|提高|0.2191037075275017|邏輯|0.2191037075275017|增強|0.2191037075275017,一半|1.179181252870026|數字|1.0633340791248362|表達|0.719341849317426|請問|0.22712282139139645|蛋糕|0.22712282139139645,,,,60|0.7443338553873855|臺車|0.15898597497397754|表達方法|0.15898597497397754|60km|0.15898597497397754|分鐘|0.15898597497397754,60|0.5316670395624181|臺車|0.11356141069569822|表達方法|0.11356141069569822|60km|0.11356141069569822|分鐘|0.11356141069569822,90|0.37079088966192597|45|0.31747187577269936|80|0.31747187577269936|35|0.2862822520720713|  |0.18344535573920484,抽象|1.2111931464033332|速率|0.3974649374349438,30|0.5316670395624181|)，|0.3443058261146455|數線|0.2947953132175065|hr|0.11356141069569822|70km|0.05678070534784911,30|0.7443338553873855|請問|0.15898597497397754|甲車|0.15898597497397754|看甲車|0.15898597497397754|分開|0.15898597497397754,抽象概念|0.3443058261146455|轉爲|0.3443058261146455|包裝|0.26583351978120906|故事|0.18736121344777268|圖形|0.1798354623293565,單元|0.7185928541374309|課程|0.6055965732016666|程度|0.5280578411257068|學生|0.1987324687174719
提起|0.3213521043736691|利用|0.3213521043736691|有趣|0.24811128512912847|學習動機|0.24811128512912847|簡單|0.22893248029900976,上臺|0.19281126262420148|尚未|0.16508537540180368|生活化|0.16508537540180368|講解|0.1488667710774771|試圖|0.12843374612683747,之於|0.7949298748698876,會用|0.3443058261146455|描述|0.2947953132175065|原因|0.22934597522649547|引入|0.1957742874232286|抽象|0.17302759234333331,關係|1.4371857082748618|比例|0.8027109132927341|數值|0.6557642470672044|倍數|0.1987324687174719,會用|0.8033802609341728|生活化|0.6878557308408486|原因|0.5351406088618227|引入|0.4568066706542001|實例|0.3311780369248034,單位|1.6067605218683456|時間|1.0702812177236454|距離|0.2649766249566292,單位|0.8033802609341728|時間|0.5351406088618227|距離|0.1324883124783146|第一句|0.1324883124783146|速率|0.1324883124783146,90|0.3443058261146455|80|0.2947953132175065|30|0.26583351978120906|160|0.11356141069569822|0.5|0.11356141069569822,題意|2.063567192522546|理解|1.0561156822514135,利用|1.6067605218683456|圖像|1.0095073654589939|理解|0.7040771215009423,重點|0.4382074150550034|題目|0.07226635226089888|記下|0.07226635226089888|示意圖|0.07226635226089888|起點|0.07226635226089888,動機|0.30256541226839195|解題|0.25498803082175436|表格|0.1958773303651014|輔助|0.18073616865711295|故事|0.1380556309615167,單元|0.9581238055165745|時機|0.2649766249566292|需及|0.2649766249566292
利用|0.3012675978503148|引導|0.25794589906531823|生活|0.25596160542065693|符合|0.23260432980855794|學習動機|0.23260432980855794,重點|0.20957745937413205|聽懂|0.20957745937413205|當下|0.20957745937413205|確認|0.20957745937413205|老師|0.19611584418639133,整體|1.514261048188491|之於|0.3974649374349438,加上|0.5355868406227818|原因|0.35676040590788183|圖像|0.336502455152998|情境|0.3045377804361334|引入|0.3045377804361334,關係|0.9581238055165745|數值|0.8743523294229392|倍數|0.2649766249566292,利用|0.688611652229291|原因|0.45869195045299094|情境|0.3915485748464572|引入|0.3915485748464572|故事|0.37472242689554536,單位|1.6067605218683456|時間|1.0702812177236454|距離|0.2649766249566292,單位|0.8033802609341728|時間|0.5351406088618227|距離|0.1324883124783146|第一句|0.1324883124783146|速率|0.1324883124783146,80|0.6878557308408486|90|0.4016901304670864|30|0.31013910641141057|0.5|0.1324883124783146|   |0.0662441562391573,單位|0.8033802609341728|換算|0.1324883124783146|方向|0.1324883124783146|速度|0.1324883124783146|相加|0.1324883124783146,利用|0.9640563131210075|協助|0.5246113976537635|理解|0.4224462729005654|圖來|0.15898597497397754|學生|0.15898597497397754,題目|0.1987324687174719|這道|0.1987324687174719|先用|0.1987324687174719|圖來|0.1987324687174719,統計|0.4382074150550034|表格|0.33833357063062974|物品|0.31218065495319514|單元|0.26130649241361126|圖形|0.22888149751009013,單元|0.8212489761570638|安排|0.589590626435013|時間|0.45869195045299094|結束|0.11356141069569822|課程內容|0.11356141069569822
